Target_1-Day,Target_2-Day,Target_3-Day,Target_4-Day,Target_5-Day,Date,Open,High,Low,Close,Adj Close,Volume
-0.002252304,-0.01182438,-0.005630652,-0.014639652,-0.021959425,-1325289600,17.76000023,17.76000023,17.76000023,17.76000023,17.76000023,0
-0.009593684,-0.003385975,-0.012415312,-0.019751608,-0.020880302,-1325203200,17.71999931,17.71999931,17.71999931,17.71999931,17.71999931,0
0.006267841,-0.00284896,-0.010256319,-0.011395947,-0.0045584,-1325116800,17.54999924,17.54999924,17.54999924,17.54999924,17.54999924,0
-0.009060014,-0.016421235,-0.017553764,-0.010758807,-0.004530007,-1325030400,17.65999985,17.65999985,17.65999985,17.65999985,17.65999985,0
-0.007428523,-0.008571407,-0.001714325,0.004571424,-0.011999948,-1324771200,17.5,17.5,17.5,17.5,17.5,0
-0.001151437,0.005756964,0.012089757,-0.004605637,-0.004030029,-1324684800,17.37000084,17.37000084,17.37000084,17.37000084,17.37000084,0
0.006916365,0.013256457,-0.003458182,-0.00288191,-0.005187329,-1324598400,17.35000038,17.35000038,17.35000038,17.35000038,17.35000038,0
0.006296543,-0.010303286,-0.009730972,-0.012020555,-0.005151698,-1324512000,17.46999931,17.46999931,17.46999931,17.46999931,17.46999931,0
-0.016495962,-0.015927229,-0.018202486,-0.011376608,-0.005688304,-1324425600,17.57999992,17.57999992,17.57999992,17.57999992,17.57999992,0
0.000578272,-0.001735147,0.005205219,0.010988931,0.020242826,-1324166400,17.29000092,17.29000092,17.29000092,17.29000092,17.29000092,0
-0.002312081,0.004624273,0.010404642,0.019653189,0.023699414,-1324080000,17.29999924,17.29999924,17.29999924,17.29999924,17.29999924,0
0.006952429,0.012746194,0.022016174,0.026071776,0.015063744,-1323993600,17.26000023,17.26000023,17.26000023,17.26000023,17.26000023,0
0.005753762,0.014959738,0.018987338,0.008055311,0.014384351,-1323907200,17.37999916,17.37999916,17.37999916,17.37999916,17.37999916,0
0.00915331,0.013157869,0.002288382,0.008581214,0.012013787,-1323820800,17.47999954,17.47999954,17.47999954,17.47999954,17.47999954,0
0.003968237,-0.006802661,-0.000566906,0.002834532,-0.00850338,-1323561600,17.63999939,17.63999939,17.63999939,17.63999939,17.63999939,0
-0.010728325,-0.004517218,-0.001129224,-0.012422322,-0.007905104,-1323475200,17.70999908,17.70999908,17.70999908,17.70999908,17.70999908,0
0.006278465,0.0097032,-0.001712368,0.002853838,0.000570789,-1323388800,17.52000046,17.52000046,17.52000046,17.52000046,17.52000046,0
0.003403368,-0.007940975,-0.00340326,-0.005672063,0,-1323302400,17.62999916,17.62999916,17.62999916,17.62999916,17.62999916,0
-0.011305865,-0.006783541,-0.009044649,-0.003391824,-0.016393494,-1323216000,17.69000053,17.69000053,17.69000053,17.69000053,17.69000053,0
0.004574038,0.002287074,0.008004539,-0.005145806,-0.002286964,-1322956800,17.48999977,17.48999977,17.48999977,17.48999977,17.48999977,0
-0.002276551,0.003414881,-0.009675588,-0.006829763,-0.007398928,-1322870400,17.56999969,17.56999969,17.56999969,17.56999969,17.56999969,0
0.005704419,-0.007415919,-0.004563601,-0.005134064,-0.002281855,-1322784000,17.53000069,17.53000069,17.53000069,17.53000069,17.53000069,0
-0.013045919,-0.010209779,-0.010777007,-0.007940975,-0.004537716,-1322697600,17.62999916,17.62999916,17.62999916,17.62999916,17.62999916,0
0.002873629,0.002298903,0.005172423,0.008620668,0.008046052,-1322611200,17.39999962,17.39999962,17.39999962,17.39999962,17.39999962,0
-0.000573079,0.002292207,0.005730571,0.005157602,-0.000573079,-1322352000,17.45000076,17.45000076,17.45000076,17.45000076,17.45000076,0
0.002866929,0.006307265,0.005733967,0,-0.00229363,-1322265600,17.44000053,17.44000053,17.44000053,17.44000053,17.44000053,0
0.003430501,0.002858842,-0.002858733,-0.005145806,-0.008004539,-1322179200,17.48999977,17.48999977,17.48999977,17.48999977,17.48999977,0
-0.000569705,-0.006267733,-0.008546987,-0.011395947,-0.029059735,-1322092800,17.54999924,17.54999924,17.54999924,17.54999924,17.54999924,0
-0.005701276,-0.00798183,-0.010832413,-0.02850627,-0.033637407,-1322006400,17.54000092,17.54000092,17.54000092,17.54000092,17.54000092,0
-0.00229363,-0.005160559,-0.022935757,-0.028096316,-0.018922013,-1321660800,17.44000053,17.44000053,17.44000053,17.44000053,17.44000053,0
-0.002873519,-0.020689581,-0.025862004,-0.01666661,-0.015517268,-1321574400,17.39999962,17.39999962,17.39999962,17.39999962,17.39999962,0
-0.017867404,-0.023054733,-0.01383284,-0.012680185,-0.009798275,-1321488000,17.35000038,17.35000038,17.35000038,17.35000038,17.35000038,0
-0.005281699,0.004107963,0.005281587,0.008215926,0.004107963,-1321401600,17.04000092,17.04000092,17.04000092,17.04000092,17.04000092,0
0.009439519,0.010619374,0.013569294,0.009439519,0.012389326,-1321142400,16.95000076,16.95000076,16.95000076,16.95000076,16.95000076,0
0.001168822,0.004091157,0,0.002922223,0.00876678,-1321056000,17.11000061,17.11000061,17.11000061,17.11000061,17.11000061,0
0.002918923,-0.001167458,0.001751354,0.007589088,0.009924115,-1320883200,17.12999916,17.12999916,17.12999916,17.12999916,17.12999916,0
-0.004074487,-0.001164171,0.004656573,0.006984804,0.006984804,-1320796800,17.18000031,17.18000031,17.18000031,17.18000031,17.18000031,0
0.002922223,0.00876678,0.011104537,0.011104537,0.026884808,-1320537600,17.11000061,17.11000061,17.11000061,17.11000061,17.11000061,0
0.005827528,0.008158473,0.008158473,0.023892765,0.029720293,-1320451200,17.15999985,17.15999985,17.15999985,17.15999985,17.15999985,0
0.00231744,0.00231744,0.017960571,0.023754336,0.018539959,-1320364800,17.26000023,17.26000023,17.26000023,17.26000023,17.26000023,0
0,0.015606964,0.021387333,0.016185012,0.019653189,-1320278400,17.29999924,17.29999924,17.29999924,17.29999924,17.29999924,0
0.015606964,0.021387333,0.016185012,0.019653189,0.036416248,-1320192000,17.29999924,17.29999924,17.29999924,17.29999924,17.29999924,0
0.005691541,0.000569165,0.003984046,0.020489506,0.024473552,-1319932800,17.56999969,17.56999969,17.56999969,17.56999969,17.56999969,0
